firma,street,plz,city,country,country_code,local_number,long_number_flag
Abschleppdienst Arnolds,Völlesbruchstrasse 19,52152,Simmerath,DE,49.0,1778754883,No
AAS-Fink GmbH,Morsbach 39,42857,Remscheid,DE,49.0,1722086056,No
Allfolia Deutschland GmbH,Morsbach 39,42857,Remscheid,DE,49.0,1734636476,Yes
Autohaus Hentschel GmbH,Vahrenwalder Str. 141,30165,Hannover,DE,49.0,117001186221169,Yes
Autohaus Schmohl GmbH,Potsdamer Str. 175,14469,Potsdam,DE,49.0,1604666050,No
"Autohaus Stürmeyer, Inh. Juri Düsterhoft",Hauptstraße 19,26897,Esterwegen,DE,49.0,1751165373,No
"Autohaus Thomas Thies, Inhaber: Thomas Thies",Hauptstr. 12,24641,Stuvenborn,DE,49.0,1735330785,No
Autohaus Musberg GmbH,Steinstr. 2,70771,Leinfelden-Echterdingen,DE,49.0,1750397296,No
Autohaus Siegmar GmbH,Anton-Erhardt-Straße 5,9117,Chemnitz,DE,49.0,100044917900089703167,Yes
Klingler Fahrzeugtechnik AG,Galgenried 2,6370,Stans,DE,49.0,1748987808,No
Autohaus Zückner GmbH & Co. KG,Gildestraße 5,91154,Roth,DE,49.0,1769142078,No
König Wilhelm Autoteile - Einbrodt & Schubert GbR,Dahlweg 122,48153,Münster,DE,49.0,1600795434,No
Autoverwertung Kabashi,Eibseeweg 1A,70378,Stuttgart,DE,49.0,178009967849,Yes
Autoverwertung Peter Pramschüfer,Donaustaufer Str. 214,93055,Regensburg,DE,49.0,1789135039,No
AVF Autoverwertung Franken GmbH,Am Kiefernschlag 22,91126,Schwabach,DE,49.0,1770634678,Yes
Autoverwertung Hocker GmbH,Daimlerstraße 10,68799,Reilingen,DE,49.0,1733091370,No
Schindelar Autoverwertung,Valentin-Linhof-Straße 14,81829,München,DE,49.0,1739990273,No
Six Cars GbR,Parkring 14,4158,Leipzig,DE,49.0,1779716592,No
Auto Böhler,Ottostraße 6,76227,Karlsruhe,DE,49.0,17900182000000738,Yes
EJP Frank Bach & Katarzyna Bach GbR,Elisabethstrasse 24,2826,Görlitz,DE,49.0,176069987449,Yes
Markus Ruge GmbH | bear-lock.de,Romain-Rolland-Str. 62,13089,Berlin,DE,49.0,1774376638,Yes
BREMSKERL-REIBBELAGWERKE Emmerling GMBH & CO. KG,Brakenhof 7,31629,Estorf,DE,49.0,4578976173,No
Werner Bölling GmbH,Klutestr. 3,59063,Hamm,DE,49.0,1521029742,Yes
ratioparts® Ersatzteile-Vertriebs GmbH,IPAS Industriegebiet - Barentsstrasse 17,53881,Euskirchen,DE,49.0,152221705149,Yes
Autoteile J. Heitzmann GmbH,"C7 , 7b",68159,Mannheim,DE,49.0,179493583649,Yes
Youngtimerparts Hausen,Mindelheimerstr. 4,87775,Hausen,DE,49.0,1770859851,No
W+N Autoglas GmbH,Eisenstr. 47,44145,Dortmund,DE,49.0,1776659132,Yes
Carfresh-Husum,Gutenbergstraße 28,25813,Husum,DE,49.0,174777773049,Yes
Robert Neugebauer & Sohn,Atzendorfer Straße 4a-6,39418,Staßfurt,DE,49.0,1526516945,No
Autohaus Peene GmbH,An den Bäckerwiesen 1,17489,Greifswald,DE,49.0,1769029428,No
Kfz-Sachverständigen-Büro Heinz-Jürgen Petrikowski,Rosental 100,47918,Tönisvorst,DE,49.0,1792236285,No
KFZ-Zulassungsdienst Marisol GmbH,Keupstraße 110,51063,Köln,DE,49.0,1609647354,Yes
GTÜ Gesellschaft für Technische Überwachung mbH,Vor dem Lauch 25,70567,Stuttgart,DE,49.0,1520780234,Yes
Ing.-Büro Dieter Walz GbR,Meitnerring 4,79589,Binzen bei Lörrach,DE,49.0,1607443158,Yes
MotoPro GmbH,Werner-Heisenberg-Str 6,86156,Augsburg,DE,49.0,3004917001235846000820,Yes
MCR Motorradcenter Regensburg GmbH,Geretsrieder Str. 7,93073,Neutraubling,DE,49.0,5820795177,No
Jade-Dienst GmbH,Schleusenstraße 22 A,26382,Wilhelmshaven,DE,49.0,1778044748,Yes
Lohmann CT Line Nutzfahrzeuge UG,Antoniter Straße 20,47551,Bedburg-Hau,DE,49.0,1730015400152,Yes
OmSa GmbH Güstrow,Lagerweg 8,18273,Güstrow,DE,49.0,1771520076,No
MA - Reifendienst,Bresslauer Ring 15,91438,Bad Windsheim,DE,49.0,1002925473176,Yes
proReifen.com GmbH,Drosselweg 23,49201,Dissen,DE,49.0,1771354319,No
A. Koch GmbH,An der Wiesenmühle 7,9224,"Chemnitz, OT Grüna",DE,49.0,1787148441,No
Hubert Heitmann GmbH,Bürgerstraße 9,21514,Büchen,DE,49.0,1794465706,No
City-Taxi Inh. Armin Reitsam,An der Zeisigburg 14,86609,Donauwörth,DE,49.0,1742072992,No
"Taxi Krümmel, Inh. Hans Jürgen Krümmel",Bonner Ring 33a,50374,Erftstadt,DE,49.0,717665900130011159,Yes
"Alf Taxi, Inhaber: Torsten Sitte",Jeßnitzerstr. 3,6842,Dessau - Roßlau,DE,49.0,17732001402944,Yes
"Personenbeförderung Portobello Jonda, Inhaber: Günter Jonda",Flughafenstr. 33,33142,Büren,DE,49.0,1732506737,No
TAXI Service & Team,Bretzinger Steige 3,74523,Schwäbisch Hall / Steinbach,DE,49.0,1799890329,No
Taxi H. ten Brink,Königsberger Str. 2,49504,Lotte,DE,49.0,1730016902022,Yes
BST-Sutter GmbH,Wogenbrunn 1,79244,Münstertal,DE,49.0,17480010262001295,Yes
Taxi Korf,Kohharder Weg 16,25938,Wyk auf Föhr,DE,49.0,1708399374,Yes
Taxi-Fuhrunternehmen Dietmar Ludwig,Lychener Str. 8,17268,Templin,DE,49.0,21721086900176,Yes
KFZ-Meisterbetrieb Heiko Bunk,Perleberger Straße 27,16909,Wittstock/Dosse,DE,49.0,1779729336,No
motormobile Lambio & Rodermund GmbH,Metternichstraße 32,54292,Trier,DE,49.0,1795517077,Yes
"Firma Gerhard Seeländer, Inhaber: Uwe Seeländer",Scharfenberger Str. 17,1139,Dresden,DE,49.0,1794892131,No
Gruber GmbH Camp+Car,Weiherstrasse 2,85354,Freising - Achering,DE,49.0,9820250160,No
Autolackierung Langbehn OHG,Rungestr. 6,24537,Neumünster,DE,49.0,4796156160,No
PW Sachsenlack,Gewerbegebiet Ockrilla 4,1689,Niederau / OT Ockrilla,DE,49.0,1702445015,No
Bauer Caravaning,Waldstraße 4,78187,Geisingen Ortsteil Gutmadingen,DE,49.0,173158947049,Yes
Wanner Caravaning GmbH,Tübinger Str. 28,72144,Dusslingen/Tübingen,DE,49.0,1788234847,No
"Caravan-Park-Elstorf, Inh. Sascha Schacht",Lindenstrasse 36,21629,Neu Wulmstorf,DE,49.0,1523788743,No
Caravan Center Kuhfuß GmbH,Vordere Aue 2,6774,Muldestausee OT Friedersdorf,DE,49.0,1748727753,No
Autolackiererei Loui Greco,Karl-von-Linde- Str. 5,95447,Bayreuth,DE,49.0,160010030018890011856,Yes
Löffler Gerüstbau GmbH,Mattenweg 15,79274,St. Märgen,DE,49.0,1729432073,Yes
Wilhelm-Bau Bauunternehmen GmbH,Didierstraße 19,35460,Staufenberg,DE,49.0,1761765671,Yes
Allround Montage Bernd Kempter,Friedenstraße 14,88317,Aichstetten,DE,49.0,1784798800,Yes
Stafemo GmbH,Am Schießstand 26,98544,Zella-Mehlis,DE,49.0,9545208160,No
"Fensterbau Neumann e.K., Inh. Rudolf Dieter Neumann",Ruhrstr. 21,35066,Frankenberg,DE,49.0,17206731950049,Yes
Baugeschäft Ufert,Werftstraße 19,18439,Stralsund,DE,49.0,1798775413,No
Kommanditgesellschaft S.H.G. GmbH & Co.,Stadenser Weg 20 + 22,29525,Uelzen,DE,49.0,1727858950,No
PRB-Spezialtiefbau GmbH,Gewerbepark Damsdorf 36,14542,Kloster Lehnin OT Damsdorf,DE,49.0,1769709369,No
Familienbildungsstätte der GEMEINNÜTZIGEN Lübeck,Jürgen-Wullenwever-Strasse 1,23566,Lübeck,DE,49.0,1757646100,No
Die Bauprofis Vertriebs GmbH,Happurger Straße 62,90482,Nürnberg,DE,49.0,1723731310,No
"Hartmut Rüffert Projektentwicklung, Inh. Hartmut Rüffert",Bahnhofstraße 42,4654,Frohburg,DE,49.0,1768210485,Yes
GrünBau gGmbH,Unnaer Straße 44,44145,Dortmund,DE,49.0,1739872218,No
Praxis Dr. Hauffe,Albersstraße 16,28209,Bremen,DE,49.0,1768118652,No
WERNER Objekteinrichtungen GmbH,Strutweg 15 / Unterweißenbrunn,97653,Bischofsheim,DE,49.0,1738026985,Yes
"Grabmale Werner Teschner, Inh. Helene Teschner",Langenbeker Friedhofsweg 9,21079,Hamburg,DE,49.0,1737774443,No
"Bestattungshaus Hans-Jürgen Barz, Inhaber: Hans-Jürgen Barz",Torgauer Strasse 38,4916,Herzberg (Elster),DE,49.0,1767532745,No
"Mahlmann Bestattungen, Inh. Jörg Mahlmann",Schulstr. 9,38312,Börßum,DE,49.0,1749296946,No
Bestattungen Hermann,Schammenstraße 27,89129,Langenau,DE,49.0,17438841500049,Yes
Bestattungsinstitut Detlev Will,Torgauer Str. 62,4916,Herzberg,DE,49.0,1797078937,Yes
"TrauerLichtung - Bestattungen in Frauenhänden, Claudia Bartholdi e. K.",Alte Holstenstraße 84,21029,Hamburg,DE,49.0,4725521172,No
Bestattungen Kranjec,Böblinger Straße 107,70199,Stuttgart,DE,49.0,1794432414,No
Bestattungsinstitut B. Schmid GmbH,Lehlestraße 3,73035,Göppingen-Faurndau,DE,49.0,1784513261,Yes
Bestattungsinstitut Hunzinger,Schaffhauser Straße 11,78532,Tuttlingen,DE,49.0,1601428593,Yes
Bestattungen Ulrich Baumung,Amselstr. 3a,56305,Puderbach,DE,49.0,1601476542,No
